SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1870,4,2,Suburb,1993,215841.598069063
1539,3,1,Rural,1967,194916.290397705
2023,2,1,Suburb,1962,237681.916807773
2576,4,2,Suburb,1963,326469.980412889
2378,4,2,Rural,1965,247220.303970466
2326,4,2,Suburb,1967,196554.723270843
2519,3,1,Suburb,2011,269755.171820836
2681,3,2,Suburb,1997,260133.171784237
2791,3,3,Urban,2010,336147.220878396
2997,2,1,Urban,1962,333157.483216568
1226,3,3,Suburb,1987,92229.4891057906
2259,4,3,Urban,1998,278408.622675058
1872,5,1,Urban,1972,167840.53348118
1891,2,2,Rural,1968,184775.885935185
2478,2,3,Rural,2021,259451.915141449
2036,2,2,Suburb,1985,125570.579843711
1209,4,3,Rural,1957,212060.695883747
1740,3,1,Suburb,2006,157650.077847365
1396,4,2,Suburb,1979,116390.384052385
2123,5,3,Rural,1955,236581.501071931
1030,3,3,Rural,1952,80276.7990932199
1897,5,1,Rural,1973,344022.821412161
2551,2,3,Suburb,1973,303208.290341208
1648,2,1,Suburb,1961,105657.465362888
1328,4,3,Urban,1984,207185.440672214
2189,3,2,Suburb,1985,172147.68754779
2482,2,1,Rural,1997,273868.206069174
2845,4,3,Suburb,1986,377890.802392821
1951,5,3,Rural,1988,214594.010721792
2123,4,2,Rural,2013,181444.133948524
1620,3,3,Suburb,1952,178342.274283436
2878,3,1,Rural,2000,249882.759058159
2196,3,3,Suburb,1987,129385.256369888
2772,2,3,Rural,1971,344222.067310892
1161,4,2,Suburb,1964,165786.058580721
2928,5,2,Urban,2012,274669.731426298
2751,3,3,Suburb,1983,333743.791418169
1775,4,2,Rural,2004,202630.699569607
2286,2,3,Rural,1985,211455.127451222
2827,5,3,Suburb,1955,336888.943208844
1273,5,1,Rural,1961,136840.750594113
2026,5,3,Urban,1963,150676.094545978
2051,2,1,Suburb,2006,316939.701469203
1325,3,1,Urban,1971,239149.952091315
1939,2,3,Urban,2012,267202.374681913
2172,5,2,Suburb,1992,241699.718837645
1539,4,3,Urban,1965,252486.82219305
1487,5,3,Rural,1988,155845.716811616
1821,4,2,Urban,1961,144196.164930209
2461,2,2,Rural,1963,215794.279215982
2088,2,1,Urban,1986,289400.84140406
1355,2,3,Suburb,2001,97337.1984488398
2556,4,2,Rural,1999,220946.999509873
2275,2,2,Urban,2006,222056.878299465
1234,3,1,Rural,1975,83963.6783131902
1226,5,3,Suburb,1986,168165.03373016
2548,3,2,Rural,1967,349692.909227941
2336,4,1,Rural,1984,358247.136528692
1048,2,1,Rural,1959,126964.068124058
1117,5,1,Urban,1967,150812.016422077
1053,2,1,Urban,1950,116402.340752525
2673,2,3,Rural,1994,283856.412916355
1564,5,3,Suburb,1952,162420.236859414
2067,5,2,Rural,1994,177724.094749049
2838,3,2,Rural,1983,403821.267301945
1052,3,2,Urban,2019,83600.3048174092
2609,3,2,Rural,1971,354235.473195293
1557,3,2,Rural,2015,206590.706540355
2548,3,1,Suburb,1960,288301.589638485
2700,4,3,Suburb,1966,375852.474743408
2125,4,1,Rural,1986,230571.832873947
2815,2,3,Rural,1968,310624.011845038
2793,2,1,Suburb,1981,232290.796561664
2872,3,1,Suburb,1960,233052.65861927
1867,2,2,Rural,1960,133216.970561766
1397,4,3,Rural,1979,228816.946422717
2161,4,3,Rural,1951,198248.161016204
1674,2,3,Urban,1984,159993.05840819
2944,3,2,Suburb,1978,380940.915686186
1386,4,2,Suburb,2000,116963.767399389
1110,5,2,Urban,1954,200812.415377943
1613,5,2,Suburb,2018,146233.250061382
1016,2,1,Urban,1971,199404.13156301
2803,3,3,Suburb,1977,273099.486840811
2205,2,2,Rural,1974,173173.16343021
1883,3,2,Urban,1953,136688.853204015
2559,3,2,Urban,1995,289133.668569938
1540,5,2,Rural,1982,322922.659926649
1170,4,3,Urban,1972,155120.048933193
1408,4,1,Suburb,1987,202512.522871839
1739,2,1,Urban,2002,130895.30759619
2401,2,2,Rural,2012,324275.442458367
2211,3,1,Urban,1953,279300.992704548
1857,4,2,Suburb,1986,157893.684796499
1229,3,2,Rural,1950,136060.129405045
2856,5,3,Urban,2016,331372.749866641
2875,5,1,Urban,1953,224228.194002383
1118,3,1,Rural,1967,128058.859615247
2179,3,2,Rural,1995,196551.324707524
1783,3,3,Suburb,1956,216470.186826762
2710,3,2,Urban,2010,295320.424667369
1464,3,3,Rural,1950,235391.71875949
1103,5,1,Suburb,2006,100871.367611453
2627,5,3,Rural,1962,294885.216216658
1697,5,1,Urban,1973,220231.528616669
2995,2,1,Urban,1977,338178.916659405
2818,5,1,Suburb,2001,283828.096561878
2525,4,2,Suburb,2019,310630.837639341
2716,4,2,Rural,1958,360925.871156245
2705,3,3,Urban,1976,307147.118869734
2722,5,2,Urban,2008,341048.072776006
1174,3,2,Urban,2003,120239.45468351
2757,3,3,Suburb,1980,250381.698431227
1744,4,1,Suburb,1993,294941.047667217
2697,4,3,Urban,1973,364927.552932838
2444,3,2,Urban,2017,244314.683789002
2157,4,1,Rural,1962,238269.202007073
2414,3,3,Suburb,1985,223533.997411543
2759,3,1,Rural,1997,350519.5460284
2524,3,2,Suburb,1994,281067.616013029
1664,2,2,Rural,1959,227111.776701013
1032,4,3,Rural,1970,191636.311105005
1054,4,1,Rural,2002,120847.048990046
2977,5,2,Urban,2005,260219.076688874
1518,4,1,Rural,2012,165410.320226558
1755,5,3,Suburb,1967,233915.14317392
2848,3,3,Rural,2014,258210.754885008
2661,2,3,Urban,1982,269861.300794624
1011,3,2,Urban,1981,55829.6853085979
2551,3,2,Urban,1953,293066.680608126
1719,3,2,Urban,1999,224736.149178676
1554,5,2,Rural,1963,202109.809753299
1372,2,3,Rural,1984,161026.107291116
1483,3,2,Suburb,1995,195723.957478379
1972,5,2,Suburb,1957,257833.810239387
2670,3,2,Rural,1988,257555.101743602
2251,2,3,Suburb,1997,254485.400382165
1622,3,3,Suburb,2008,164581.177499628
1306,3,2,Suburb,1950,80840.8730753913
1456,4,1,Suburb,1980,216127.564297241
1159,5,1,Urban,1997,130081.670357953
1330,2,2,Suburb,1979,165369.023434503
1775,5,2,Rural,1965,268162.714917715
1224,4,2,Rural,1990,145308.843141946
1982,3,3,Suburb,1973,236398.515078023
1728,2,1,Urban,2014,182873.817703102
2527,2,3,Urban,1960,152606.161073487
2479,5,1,Urban,1968,290559.770411897
2068,3,3,Suburb,1968,188531.571040176
2237,4,3,Rural,1980,244489.627128704
2082,3,2,Suburb,1961,167364.226530355
1643,5,2,Rural,1982,152736.938488481
1615,2,2,Rural,2019,117726.633024183
1194,2,3,Urban,1991,102256.415562238
2948,3,2,Suburb,2000,305239.55051353
1488,3,3,Rural,2005,181957.256441699
1156,3,3,Rural,2002,160003.977409714
1609,3,2,Rural,1991,195354.506807215
2249,4,2,Rural,2006,302032.219082713
1411,4,3,Rural,1985,102520.05520296
2228,4,1,Urban,1966,258243.49496583
2102,4,1,Urban,1967,136118.012885237
2147,5,3,Rural,1953,216305.760028298
1470,2,2,Suburb,2000,81451.7207664963
2963,2,2,Rural,1969,365520.835676556
2241,5,2,Suburb,2016,339100.139386095
1515,5,3,Rural,2006,183054.352116677
2625,4,2,Urban,1963,258377.859769304
2127,3,1,Urban,1993,216363.526586058
1392,2,1,Suburb,1974,111374.6183206
1630,5,2,Rural,2013,215368.564099749
2668,3,3,Rural,1951,206891.718823543
2847,4,1,Urban,1987,356628.064916049
1607,5,2,Suburb,1955,110723.096575375
1979,2,2,Rural,1997,83132.631115041
1433,2,1,Suburb,1977,96792.4218918865
2354,2,3,Urban,2015,227367.466720919
2166,5,3,Rural,1988,274611.204751719
2823,2,1,Rural,1990,349502.420334166
1539,4,3,Suburb,1952,246863.738737464
1277,2,2,Urban,2020,123187.480501791
1232,4,3,Urban,1950,199419.574350769
2552,2,1,Suburb,1998,324238.155391007
2594,4,1,Urban,1984,338286.101089043
2113,5,1,Urban,1984,106852.461097352
2515,4,2,Suburb,1998,227057.213408077
2222,5,2,Suburb,2011,239090.292835895
1361,3,2,Rural,1965,249336.966569869
2464,4,1,Urban,2014,293630.740573917
1025,5,3,Urban,1951,115665.693345283
2048,3,2,Rural,1951,198043.433533316
2417,2,1,Suburb,2016,228590.408756946
1506,3,1,Urban,2008,127399.1274673
2324,4,2,Suburb,1991,296538.452505541
2362,3,3,Urban,1981,298800.389317494
1266,2,2,Suburb,1965,86822.5400934538
1460,3,3,Rural,1998,83633.2946390392
2716,4,1,Urban,2002,271715.608381582
1455,4,1,Rural,2015,133845.703908956
2383,5,1,Suburb,1986,278290.514094632
2091,2,3,Urban,2002,313089.201026577
2006,2,2,Rural,2000,174123.81456496
1862,3,2,Suburb,2015,242890.480686022
2435,2,3,Rural,1951,297126.767410749
2994,4,2,Suburb,1951,235054.166492864
1490,3,3,Rural,1978,140411.876137363
2856,5,2,Suburb,2015,260148.114973813
2072,3,2,Suburb,1964,267538.599318676
2710,3,3,Urban,1994,278877.975430284
1563,5,2,Rural,2020,181083.960240541
2125,3,1,Urban,1978,213610.950080174
1215,2,1,Rural,1982,150333.065631823
2461,3,3,Urban,2000,234205.530983423
2723,3,2,Rural,1954,267826.71254641
2592,3,3,Suburb,1986,241897.397099154
1558,4,3,Urban,1952,141802.066511594
1158,4,2,Rural,1960,124740.112813371
1488,2,1,Rural,1960,174971.248873396
1685,5,1,Urban,1956,122450.784399874
2265,4,2,Suburb,2017,285445.214224745
1793,4,1,Rural,1968,110435.592515524
2776,2,3,Rural,1983,289493.338566165
2905,2,3,Suburb,1959,363430.371977177
1004,5,3,Suburb,1951,203601.926661245
2619,3,1,Urban,2020,310576.744576161
2843,3,2,Suburb,1984,224073.481148154
1360,5,2,Urban,1981,159201.798011644
1458,5,3,Suburb,1964,275200.974278617
1247,5,3,Rural,1961,225244.72923076
2589,2,3,Suburb,2012,272626.37420713
2696,3,1,Suburb,1992,350824.481767783
1945,5,2,Suburb,2021,216536.023636627
1421,5,2,Suburb,1976,202699.036517798
2946,3,1,Suburb,2004,248769.895895058
2761,3,2,Urban,2021,198973.686838507
1014,2,3,Urban,1981,80648.5005916899
1735,4,2,Urban,1959,211582.496059574
2596,4,2,Rural,1984,233387.174306365
2145,2,1,Urban,1953,204852.046919851
1276,2,2,Rural,1988,50271.1800432447
2581,3,3,Rural,1992,224980.364376095
1452,2,1,Rural,1967,77435.1226771042
2413,2,1,Urban,1981,210287.616263632
2317,5,1,Suburb,2018,150533.168013927
2597,2,3,Urban,1977,256216.362764746
1597,2,2,Urban,1988,179520.644547392
1445,5,1,Urban,1976,188951.548293663
1209,3,3,Urban,2002,204315.59675923
2613,3,3,Urban,1958,236050.722715496
1713,2,3,Urban,2000,141119.465322031
1301,2,2,Suburb,1961,102893.782513192
2932,4,3,Urban,1961,348671.551573496
2246,5,2,Suburb,1979,268925.29951132
2757,4,1,Rural,1976,275813.947510151
1002,2,1,Rural,1992,192662.275515699
1989,4,2,Suburb,2007,219218.250679505
2541,4,3,Suburb,2002,258815.708032843
2116,3,1,Rural,1955,209753.363144492
1519,5,2,Urban,1950,177297.507765609
2451,3,3,Urban,1992,237055.088166721
1492,3,1,Suburb,1970,9255.92330404799
2258,4,2,Rural,1961,272708.78229699
1619,5,3,Urban,1995,232831.164124141
2184,2,3,Suburb,1987,302623.763384396
2744,5,3,Rural,2000,306275.916268904
2775,3,2,Rural,1994,192575.675812235
1330,4,2,Suburb,1963,184092.165026305
1332,2,3,Suburb,1958,73674.1383213827
1049,3,3,Rural,1951,177999.923653328
2546,4,3,Urban,1978,337986.784098511
1862,3,3,Rural,2010,126707.022896623
2691,4,3,Urban,1984,336925.458777629
2515,5,3,Rural,2018,276150.511818554
2605,3,1,Urban,1954,218743.848486131
2704,5,3,Rural,1993,319494.571546998
1271,5,2,Suburb,1999,117391.744958399
1579,4,2,Rural,2004,58678.5280750494
2890,2,2,Suburb,1993,367156.315257645
2275,5,2,Urban,2018,279048.615439266
1559,3,1,Urban,2011,211644.114424867
1695,3,1,Rural,1956,269624.113188142
2855,4,2,Suburb,2018,325182.066787564
2722,5,2,Suburb,1950,348295.582665654
2113,2,2,Urban,1988,273262.027785168
1445,2,2,Rural,1958,137405.865841293
2016,3,2,Suburb,2001,205280.223304598
2355,4,1,Suburb,1985,259111.794407816
2162,5,1,Rural,1993,296209.161672246
1356,3,1,Suburb,2016,137769.992236363
2624,4,3,Urban,1975,229792.869396573
1273,2,2,Urban,1960,171728.337066961
2042,3,2,Rural,1992,300444.17324249
1310,4,3,Suburb,1977,174663.413292839
1869,2,2,Urban,1989,147521.128740253
1885,4,3,Suburb,1960,317827.673095435
1153,3,3,Urban,1961,170328.44712581
2413,5,3,Urban,1991,261996.128444056
2283,4,3,Urban,1982,285902.331700973
1619,5,2,Suburb,1954,175720.085759806
1882,3,3,Urban,1970,112604.838226101
1796,2,2,Rural,1979,233237.766331609
2594,4,3,Rural,1982,336635.413099313
1124,2,1,Suburb,1950,193328.065020817
2377,5,2,Urban,1978,266429.351582961
2296,5,3,Rural,2020,293362.58468357
1618,2,3,Rural,2000,188472.192881506
2834,3,3,Urban,2014,390263.03017938
1244,5,1,Suburb,1997,140879.522766978
1847,3,2,Suburb,1982,196248.152058374
1449,2,1,Suburb,1952,134900.318329427
1929,3,1,Suburb,2015,212606.882858944
2270,5,1,Urban,1967,299672.988603556
1519,2,2,Suburb,1967,255691.150581103
2164,3,1,Urban,1961,225261.318239071
1361,3,2,Urban,1976,138357.798687095
1007,4,2,Urban,2008,28575.4423726559
1477,5,3,Suburb,2018,169458.938659615
2375,4,1,Suburb,1984,199631.955973726
1494,3,1,Urban,1975,295747.473152585
2629,5,1,Urban,1959,301569.758425499
1832,2,2,Urban,2001,128044.940628806
2450,2,2,Urban,1952,253411.863510531
2062,2,2,Urban,1970,249066.477253515
1592,3,1,Rural,1983,233823.457852767
1186,3,2,Urban,2003,156410.407630149
2619,2,2,Urban,1975,337466.512767628
2623,4,2,Rural,1959,301507.144842326
1753,4,3,Rural,1969,178367.833275788
2877,5,2,Urban,2004,252999.288848321
1092,5,1,Urban,1996,78766.3411131758
1085,2,2,Suburb,1998,122304.12440719
2067,3,3,Rural,2011,231943.93586886
1136,3,2,Urban,1957,24029.5253457628
1420,5,2,Rural,1964,95972.7738114559
1073,2,3,Urban,1962,142351.026977588
2571,5,1,Suburb,1974,252107.598689333
2636,4,3,Rural,1994,282103.289654224
2535,2,2,Suburb,1998,259548.356880217
2179,2,2,Urban,1991,170880.970316106
2961,2,2,Rural,1977,286380.922528016
2278,4,2,Suburb,2010,268427.431535914
1170,2,1,Urban,1988,153026.738787064
2751,5,2,Suburb,1987,318240.163358381
1169,4,2,Suburb,1959,222941.039145056
2787,3,3,Urban,2001,385114.607543017
1871,5,1,Urban,2008,217548.567917532
1321,5,3,Rural,1962,126514.689115703
2590,5,2,Suburb,1974,345817.296731903
1455,4,2,Rural,2004,125522.409761912
1943,5,2,Urban,1966,186738.961327921
2626,4,1,Urban,1955,267011.713857957
1789,2,2,Suburb,1970,248694.14910621
1612,3,3,Urban,1970,157068.993600176
2178,2,3,Suburb,1977,314943.986600862
1888,5,1,Rural,2021,303453.815979378
1348,4,2,Suburb,2012,73456.3793582871
2474,4,2,Urban,1969,227112.002169415
2899,2,2,Rural,1954,354760.386547732
2676,5,1,Rural,1972,285306.942000264
2196,3,1,Suburb,1958,291575.210608335
1009,4,2,Rural,1958,62000.5200845755
1739,4,3,Suburb,2001,164316.12965474
2288,5,1,Rural,1978,309114.989066182
2461,4,1,Urban,1986,238185.438342332
2783,5,3,Urban,1979,261118.078944116
2270,5,3,Urban,1966,241629.147464121
1666,3,2,Rural,1999,259457.787575888
1545,5,2,Urban,1953,211823.171279352
2522,2,2,Urban,2016,249565.699798296
1128,3,2,Urban,1995,85870.2971098506
2695,5,1,Rural,1968,266754.404821893
1600,5,3,Rural,1950,173378.208788675
1604,3,2,Urban,2021,234023.064764361
1326,4,3,Urban,2015,118883.930518873
2776,3,2,Urban,2001,248610.118959723
2858,4,3,Rural,1952,332215.183701967
1979,3,2,Urban,1993,310446.782837502
1403,3,3,Suburb,1980,192055.845452936
1628,2,2,Urban,1959,210732.757624935
2629,3,1,Suburb,2003,296077.327734527
2698,2,2,Rural,2001,337175.626625397
2634,5,3,Rural,2007,232377.8689239
2648,4,2,Suburb,2018,202012.298155723
2382,4,1,Rural,2019,307767.781750247
2626,2,1,Suburb,2007,262250.152413822
2881,4,2,Suburb,1980,290788.679798295
1717,4,3,Urban,1985,194362.14995253
2040,3,3,Urban,1963,247934.676506475
1273,2,3,Rural,1990,210033.630444548
1684,4,3,Urban,1957,232070.735991658
1115,5,1,Rural,2019,123758.366794855
1860,2,1,Rural,1981,217895.404641734
1692,3,2,Rural,1992,186995.475131848
2114,5,3,Rural,1979,194760.867097425
2105,4,2,Suburb,1996,163527.311549453
1323,4,1,Suburb,1952,231414.604396852
1960,2,2,Urban,1959,237782.922379031
1113,4,2,Rural,1966,110328.524449683
2792,2,3,Suburb,2009,368927.948505907
2081,4,1,Suburb,1963,254700.802150249
1153,5,1,Suburb,1959,173382.25443493
2900,3,2,Rural,1966,347365.567562351
2427,5,1,Suburb,1968,275907.360282299
2651,3,3,Urban,1958,285537.686841332
2878,2,2,Rural,2013,354639.248461284
2289,4,1,Urban,1995,257865.856729663
1314,5,3,Suburb,2008,257145.626029641
2738,4,1,Rural,2019,339175.842647974
2064,2,3,Suburb,1997,260423.721444092
1104,3,2,Suburb,1954,145610.664531672
2924,5,3,Suburb,2012,280989.330164234
2913,3,1,Urban,1977,244853.006006572
2216,3,2,Rural,1992,245738.53922754
2424,2,1,Rural,1957,215749.641716428
2301,3,2,Rural,1983,320368.762608506
1353,2,1,Rural,1990,57117.7994078096
2015,3,2,Urban,2001,167712.628872626
2772,3,2,Rural,1966,314844.398032244
2960,5,3,Urban,1954,367245.513778277
1732,2,2,Rural,1978,108449.108179543
2603,4,2,Urban,1968,210659.42195924
1708,4,3,Suburb,1975,140576.911932977
2279,4,2,Suburb,1993,305358.568911853
1650,5,1,Urban,1974,202366.192471994
1823,5,3,Urban,1967,284045.358019687
1946,3,3,Urban,1988,218888.816002289
1660,3,2,Urban,1990,181248.588274299
1098,4,3,Rural,1979,173745.075167882
1587,3,1,Rural,2007,255335.323635129
1281,3,2,Suburb,1984,114690.761320879
2906,5,2,Suburb,2000,318811.294591912
1402,4,2,Rural,2003,158405.184371645
2132,2,1,Urban,1996,188749.805469362
1699,4,1,Urban,1994,253277.797995483
1198,5,1,Urban,2002,129437.464296652
2326,4,3,Rural,2016,258213.578225593
1326,2,3,Rural,2015,171488.990204902
1153,3,2,Suburb,2013,195791.03246907
1551,4,2,Suburb,1993,251224.317316281
2668,5,2,Suburb,1997,247180.591601773
1404,5,3,Rural,1988,214871.178702612
1461,4,1,Rural,2014,179343.98702064
1131,3,1,Rural,1986,148227.214365378
1790,3,2,Urban,1966,147353.159314105
1873,5,1,Suburb,1960,274285.587690922
1083,5,3,Suburb,1960,168403.177275294
2422,2,1,Suburb,2003,216802.698195065
1753,3,2,Urban,2015,111573.57405589
1627,4,2,Rural,1957,176838.285013949
2132,5,1,Suburb,1963,268556.010288184
1220,5,2,Suburb,1995,84837.54178904
2927,5,2,Urban,2017,199203.68065666
1552,5,3,Suburb,1965,185530.875579342
2391,3,3,Urban,2020,232121.015247628
2170,5,1,Suburb,1982,179007.014202012
1111,3,2,Urban,1955,103340.942964643
1614,2,1,Rural,2001,179974.260189883
2581,2,3,Urban,1957,223133.846996646
1923,4,3,Rural,1979,321765.592506557
2517,5,3,Suburb,1956,309871.703598453
2528,4,1,Rural,1968,332987.109054402
1474,3,3,Suburb,2012,188375.974425775
1835,4,2,Suburb,1952,130818.504761916
2913,4,3,Rural,1980,347469.103421185
1270,5,1,Suburb,1996,150022.395883945
1420,3,3,Suburb,1962,172545.46399736
2920,3,1,Rural,1992,277449.501208641
1706,5,2,Suburb,1968,181020.505519181
2390,3,3,Rural,1976,335788.93382561
2303,2,1,Rural,1983,231448.914282827
2306,5,2,Suburb,1968,213134.234051091
1039,5,2,Urban,1967,97969.2264834916
2982,5,3,Rural,2014,388457.312836296
1188,2,2,Suburb,1997,200283.46781994
2187,3,2,Suburb,1961,261617.233936742
1993,2,1,Urban,2019,232802.536547605
2559,2,1,Rural,1968,326811.519636834
1535,2,1,Urban,1975,168714.023613835
2027,4,3,Rural,1987,203139.173252974
2858,3,2,Suburb,1974,193176.813077233
1289,3,3,Rural,1961,136602.763583207
2976,5,3,Suburb,2012,326156.163528457
1432,5,1,Suburb,1989,231883.364168647
1470,4,2,Urban,1977,154917.258731845
2204,2,3,Suburb,1955,221797.830243511
2271,5,3,Urban,2009,173401.482602949
1627,3,3,Rural,2001,214118.925435854
1278,5,3,Rural,1972,194061.941968096
1876,2,1,Suburb,1951,191895.54340914
1580,4,3,Urban,1975,188393.263938385
1862,2,1,Urban,1966,312271.547627285
1253,5,2,Suburb,1979,297869.009847777
1180,4,3,Urban,1997,160646.468738901
2853,4,1,Rural,2009,250468.195109259
1680,2,1,Urban,1970,106245.963553639
1824,5,3,Rural,1967,254232.535312001
2532,2,1,Urban,1976,356283.04339715
2784,5,3,Rural,2018,387397.490124212
1699,5,1,Suburb,1975,247099.639011673
1565,3,1,Rural,2010,173855.001003358
2349,4,2,Rural,1954,200584.624683618
2380,5,3,Rural,1962,337722.851728453
2848,2,2,Suburb,2011,244313.101366542
2673,2,1,Suburb,2007,256863.338951274
1679,3,3,Urban,1989,132620.732530084
1390,3,2,Suburb,1986,67171.5952733677
2638,3,3,Rural,1997,219048.241950057
2957,4,3,Rural,1990,258346.847395929
2108,3,2,Suburb,1994,232560.929808776
2340,4,2,Urban,2005,227641.960670034
1211,3,2,Rural,1964,240093.266727156
2538,4,1,Rural,2009,225036.667105003
1383,5,2,Rural,1972,98823.4404254757
2714,3,2,Urban,1970,378473.001899718
1341,4,1,Suburb,2000,237934.630973315
2838,5,2,Rural,1985,280662.824522167
2987,3,3,Rural,1983,370870.785035783
1843,5,3,Suburb,2015,287023.848763804
2061,3,3,Urban,1976,163983.310358532
2534,2,1,Suburb,1950,272157.258354765
1419,4,2,Suburb,2002,83897.5134467741
1750,2,3,Urban,1987,182178.552539564
2192,4,1,Suburb,1988,248214.215115801
2988,2,1,Urban,1977,329756.391108356
2932,3,1,Suburb,1978,302119.438871965
2366,2,1,Urban,1982,230682.372675571
2849,3,1,Suburb,2018,274217.200959837
1305,4,3,Suburb,1983,87884.1908345683
2565,3,1,Suburb,1957,335930.800795385
1701,2,2,Suburb,1984,280347.538257588
1868,5,3,Suburb,1968,284608.659721622
1536,4,1,Urban,2007,232085.978888153
2135,5,3,Rural,1991,270112.081640409
2434,5,3,Urban,2005,301827.198392736
2970,5,2,Rural,2010,395595.879686795
1205,5,1,Rural,2011,92533.8191747646
2208,5,2,Suburb,1979,292001.523507704
2405,2,1,Suburb,2014,257395.460306146
1495,3,1,Suburb,1992,139196.222391589
2402,3,3,Urban,1996,236142.743668507
2070,5,1,Rural,1959,240948.807689545
2909,2,3,Urban,2012,314471.737115537
2763,5,2,Suburb,2011,337881.040867155
2574,5,1,Rural,2021,273329.227729743
2551,4,1,Urban,1982,280226.906599381
1503,2,2,Urban,2007,205555.496134906
2045,5,2,Urban,2006,207066.982507653
1212,3,3,Suburb,2006,170207.51900348
1309,4,2,Suburb,2003,207758.63805845
1660,5,1,Rural,1962,232547.856450365
2991,5,3,Rural,1983,356890.113592388
1752,5,2,Rural,1971,124242.935067418
1271,2,1,Urban,1992,129432.750791152
2594,5,1,Rural,1965,296294.498825935
2822,3,1,Suburb,1989,326883.927592417
1937,4,2,Suburb,1974,140281.48176345
2225,2,3,Suburb,1962,235067.717630574
1031,4,2,Urban,1990,173626.654393097
1442,3,3,Urban,2002,248669.548298
1161,5,2,Urban,1999,108547.456312294
1766,2,1,Suburb,2000,140492.247148882
1253,5,2,Suburb,1952,145662.816941437
1520,2,3,Suburb,2017,331308.868392546
1976,5,2,Rural,2014,294480.882062098
2674,3,3,Rural,1985,358480.180572099
2503,3,2,Suburb,1973,239745.147132485
1009,5,3,Urban,1968,151533.061108597
1725,3,1,Rural,1957,215971.876064125
1504,5,1,Rural,1951,201450.355201186
1784,2,3,Suburb,1979,129841.408287642
2859,3,1,Urban,1979,217553.952120079
2583,2,3,Suburb,1993,330090.101043948
1435,5,3,Suburb,2014,115536.875044455
2134,2,1,Urban,1987,220217.685689336
1152,4,2,Suburb,1950,94657.0431344368
2658,5,3,Rural,1980,253773.493606733
1916,3,2,Urban,1985,188773.641184886
1868,3,2,Rural,1958,172089.620194
2125,4,1,Suburb,1952,292415.814631472
1752,5,3,Urban,2004,240483.113866699
2856,5,2,Rural,1972,316507.419153559
2214,5,2,Rural,2004,235309.468131266
2752,5,1,Rural,1957,309400.95693061
1562,2,1,Urban,1963,193629.353987826
2827,5,2,Rural,1962,237937.341578411
2104,2,2,Urban,1961,235340.82902542
1488,2,1,Rural,1961,174029.136667594
1894,3,1,Urban,2011,195114.126394858
2111,5,1,Rural,1988,169177.626229706
2217,2,3,Urban,1958,194718.227192882
1103,5,1,Suburb,1972,174821.317476945
2806,4,1,Urban,1969,308929.607579978
2119,2,1,Urban,1997,237252.587997732
2446,3,3,Rural,1984,234926.684827491
2914,5,3,Rural,1976,379499.92783925
2221,3,1,Suburb,2010,224034.006494703
2024,2,1,Suburb,2003,161668.093168283
2006,2,3,Rural,1951,233943.311229751
1406,3,3,Suburb,1995,99109.3752356981
2401,5,2,Suburb,1964,280554.038625315
1166,2,3,Suburb,1970,169922.090721555
1508,4,3,Urban,2006,91584.7330247112
2661,3,1,Urban,1962,335123.009658874
1312,2,1,Suburb,2012,44492.6669378101
2616,5,1,Suburb,1974,330156.319927363
2441,2,3,Rural,1989,271553.893573421
1762,5,2,Suburb,1971,242846.148400962
1680,5,1,Suburb,1953,142932.218614462
1476,2,2,Suburb,1965,76016.5572790773
1072,4,2,Urban,2004,167208.33565531
2164,5,3,Rural,1990,174156.691461626
1581,3,3,Suburb,1978,197411.089325633
1261,5,1,Rural,1970,217971.309376653
2363,5,3,Urban,1962,265503.1701636
2331,4,2,Rural,1976,256414.026557037
1244,5,3,Rural,2018,128451.252821741
2538,2,3,Rural,1958,326465.825594979
2360,4,2,Urban,2004,255126.787979335
2598,5,3,Rural,2004,317665.539007037
1560,2,3,Suburb,2001,82543.4929895559
2099,2,1,Suburb,1996,196774.745194253
2903,5,2,Suburb,1981,307103.701869638
1174,3,3,Urban,2016,111586.570263898
1108,3,2,Rural,1957,114510.628701384
1182,5,3,Rural,1991,148902.483348229
1191,5,1,Urban,1966,149626.721842339
1064,2,3,Rural,1990,73656.8239462384
2872,5,3,Suburb,1982,365622.084750866
1962,5,2,Rural,1985,199051.414144348
2497,2,3,Rural,1994,390082.321880176
2806,5,2,Rural,1958,407453.752606879
2123,5,1,Rural,1968,247132.168322946
2567,5,2,Rural,1987,276231.091662129
1863,2,3,Rural,1992,221004.836268366
2151,5,2,Urban,1987,231947.93865805
2475,3,1,Suburb,2021,258732.602014789
2937,5,3,Urban,2009,378084.44234731
1368,3,1,Urban,1950,106485.762392203
1850,5,1,Suburb,1970,194150.206202057
1042,2,3,Urban,2011,142127.993732834
2907,3,3,Suburb,1953,278646.915285595
2442,5,2,Suburb,1994,279336.781325178
1487,5,3,Suburb,1969,155388.305580738
1077,5,2,Suburb,1997,175929.04186756
1825,5,1,Rural,1985,192201.371820824
2824,2,2,Suburb,1951,333782.184650381
2293,4,3,Urban,1997,216710.233727378
1673,3,2,Urban,1967,150318.313960574
1700,5,3,Rural,1979,280802.903532194
1758,2,1,Rural,1957,109452.885243529
2923,4,2,Rural,2020,289726.051923405
1727,2,2,Urban,1974,180357.527355326
